                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.64086,                0.42039,                0.86279,                0.99933,                      1,                  0.995,                0.83997,                0.58093,                0.32165,                 0.8446,              0.0014635,              0.0014635,              0.0014635
                     39,                 0.6268,                0.40813,                0.86404,                0.99933,                      1,                  0.995,                0.83844,                0.55321,                0.33198,                0.83928,               0.001458,               0.001458,               0.001458
                     40,                 0.6004,                0.38897,                0.86622,                0.99947,                      1,                  0.995,                0.86049,                0.53604,                0.30652,                0.83454,              0.0014525,              0.0014525,              0.0014525
                     41,                0.59048,                 0.3772,                0.85867,                0.99954,                      1,                  0.995,                0.85891,                0.52499,                0.31338,                0.82959,               0.001447,               0.001447,               0.001447
                     42,                0.58703,                0.37609,                0.85748,                0.99949,                      1,                  0.995,                0.85665,                0.53271,                0.30588,                0.83274,              0.0014415,              0.0014415,              0.0014415
                     43,                0.57022,                0.36452,                0.84804,                0.99907,                      1,                  0.995,                0.85346,                0.55569,                0.32831,                0.84218,               0.001436,               0.001436,               0.001436
                     44,                0.58805,                0.36695,                0.84603,                0.99933,                      1,                  0.995,                0.84938,                 0.5664,                0.31994,                0.84117,              0.0014305,              0.0014305,              0.0014305
                     45,                0.58265,                 0.3627,                 0.8547,                0.99931,                      1,                  0.995,                0.85893,                0.54148,                0.30538,                0.83594,               0.001425,               0.001425,               0.001425
                     46,                0.61969,                0.37546,                0.87385,                0.99929,                      1,                  0.995,                0.84416,                0.59003,                0.31795,                0.84518,              0.0014195,              0.0014195,              0.0014195
                     47,                0.61848,                0.37172,                0.86135,                0.99936,                      1,                  0.995,                0.84772,                0.53517,                0.31976,                0.83204,              0.0014139,              0.0014139,              0.0014139
                     48,                0.59485,                 0.3751,                0.86079,                0.99918,                      1,                  0.995,                0.85139,                0.55412,                0.31959,                0.84012,              0.0014084,              0.0014084,              0.0014084
                     49,                 0.5928,                0.36686,                 0.8631,                 0.9993,                      1,                  0.995,                0.85191,                0.56712,                0.31276,                0.83986,              0.0014029,              0.0014029,              0.0014029
                     50,                0.60229,                0.37888,                0.86879,                0.99941,                      1,                  0.995,                0.85211,                0.52933,                0.30263,                0.83333,              0.0013974,              0.0013974,              0.0013974
                     51,                 0.6013,                0.37221,                0.85847,                0.99936,                      1,                  0.995,                 0.8525,                0.53737,                0.29564,                 0.8345,              0.0013919,              0.0013919,              0.0013919
                     52,                 0.5904,                0.36646,                0.85847,                0.99947,                      1,                  0.995,                0.85714,                0.56039,                0.30723,                 0.8354,              0.0013864,              0.0013864,              0.0013864
                     53,                 0.5924,                0.37523,                0.85166,                0.99932,                      1,                  0.995,                0.85593,                0.52546,                0.30103,                0.83321,              0.0013809,              0.0013809,              0.0013809
                     54,                 0.5842,                0.36914,                0.85188,                0.99927,                      1,                  0.995,                0.85961,                 0.5103,                0.28107,                0.82997,              0.0013754,              0.0013754,              0.0013754
                     55,                0.57147,                0.35887,                0.85322,                0.99917,                      1,                  0.995,                0.85077,                0.55822,                0.31357,                0.83497,              0.0013699,              0.0013699,              0.0013699
                     56,                0.58863,                 0.3648,                0.86863,                0.99958,                      1,                  0.995,                0.84706,                0.53875,                0.31206,                0.83823,              0.0013644,              0.0013644,              0.0013644
                     57,                0.56892,                0.36258,                0.85419,                 0.9993,                      1,                  0.995,                0.85489,                0.53694,                0.29828,                0.83146,              0.0013589,              0.0013589,              0.0013589
                     58,                0.55682,                0.34575,                0.84887,                0.99953,                      1,                  0.995,                0.85743,                0.55034,                0.29318,                0.84152,              0.0013534,              0.0013534,              0.0013534
                     59,                0.57867,                0.35566,                0.86564,                0.99938,                      1,                  0.995,                0.86059,                0.53121,                0.29228,                0.83465,              0.0013479,              0.0013479,              0.0013479
                     60,                 0.5758,                0.35363,                0.84957,                0.99954,                      1,                  0.995,                 0.8493,                0.54934,                0.29836,                0.83561,              0.0013424,              0.0013424,              0.0013424
                     61,                0.56373,                0.34867,                0.84802,                0.99942,                      1,                  0.995,                 0.8447,                0.56624,                0.30648,                0.84407,              0.0013369,              0.0013369,              0.0013369
                     62,                 0.5903,                0.36172,                0.85905,                0.99946,                      1,                  0.995,                0.84308,                 0.5562,                0.29565,                0.84515,              0.0013314,              0.0013314,              0.0013314
                     63,                0.60116,                0.36025,                0.86163,                0.99949,                      1,                  0.995,                0.84844,                0.54583,                0.29761,                0.84027,              0.0013259,              0.0013259,              0.0013259
                     64,                0.58681,                0.35213,                0.86684,                0.99933,                      1,                  0.995,                0.85878,                0.54153,                 0.2943,                0.83999,              0.0013204,              0.0013204,              0.0013204
                     65,                0.57822,                0.35352,                0.86796,                0.99955,                      1,                  0.995,                0.84585,                0.54773,                 0.3019,                0.84338,              0.0013149,              0.0013149,              0.0013149
                     66,                  0.583,                0.36506,                 0.8522,                0.99947,                      1,                  0.995,                0.84799,                0.54399,                0.30333,                0.83323,              0.0013094,              0.0013094,              0.0013094
                     67,                0.57302,                0.34631,                0.85201,                0.99943,                      1,                  0.995,                0.85056,                0.56584,                0.29529,                0.84113,              0.0013039,              0.0013039,              0.0013039
                     68,                0.57139,                0.34404,                0.85367,                0.99954,                      1,                  0.995,                 0.8622,                0.52905,                0.29865,                0.83548,              0.0012984,              0.0012984,              0.0012984
                     69,                0.58924,                0.36262,                0.85395,                0.99929,                      1,                  0.995,                0.85409,                0.55967,                0.29609,                0.83807,              0.0012929,              0.0012929,              0.0012929
                     70,                 0.5396,                0.32425,                0.85136,                0.99945,                      1,                  0.995,                0.86454,                0.52855,                0.27598,                0.82938,              0.0012874,              0.0012874,              0.0012874
                     71,                0.57933,                0.33882,                0.86247,                0.99955,                      1,                  0.995,                0.86224,                0.53773,                0.29061,                0.83679,              0.0012819,              0.0012819,              0.0012819
                     72,                0.57065,                0.34474,                0.85574,                0.99959,                      1,                  0.995,                0.86777,                0.51767,                 0.2834,                0.82993,              0.0012764,              0.0012764,              0.0012764
                     73,                0.57355,                0.35547,                0.86044,                0.99946,                      1,                  0.995,                0.86066,                0.51919,                 0.2929,                0.83042,              0.0012709,              0.0012709,              0.0012709
                     74,                0.57649,                0.33816,                0.85598,                0.99962,                      1,                  0.995,                0.86514,                0.52661,                 0.2842,                0.83495,              0.0012654,              0.0012654,              0.0012654
                     75,                0.57695,                0.33992,                0.85477,                0.99941,                      1,                  0.995,                0.86031,                0.53266,                0.28199,                0.83806,              0.0012599,              0.0012599,              0.0012599
                     76,                0.55419,                0.33671,                0.84309,                0.99947,                      1,                  0.995,                0.85221,                0.55261,                0.28486,                0.83794,              0.0012544,              0.0012544,              0.0012544
                     77,                0.55449,                0.32942,                0.84619,                0.99923,                      1,                  0.995,                 0.8551,                0.55618,                0.28698,                0.83873,              0.0012489,              0.0012489,              0.0012489
                     78,                 0.5577,                 0.3293,                0.84802,                0.99964,                      1,                  0.995,                0.85768,                0.52316,                0.27938,                0.83022,              0.0012434,              0.0012434,              0.0012434
                     79,                0.56378,                0.33715,                0.85418,                0.99954,                      1,                  0.995,                 0.8601,                0.53559,                 0.2888,                0.83074,              0.0012379,              0.0012379,              0.0012379
                     80,                0.56705,                0.32882,                 0.8575,                0.99959,                      1,                  0.995,                0.86514,                0.53526,                0.27848,                0.83596,              0.0012324,              0.0012324,              0.0012324
                     81,                0.56082,                 0.3332,                0.86078,                0.99938,                      1,                  0.995,                0.84402,                0.58333,                0.28362,                0.85036,              0.0012269,              0.0012269,              0.0012269
                     82,                0.55276,                0.32309,                0.85809,                0.99948,                      1,                  0.995,                0.85736,                0.50838,                0.28456,                0.82557,              0.0012214,              0.0012214,              0.0012214
                     83,                0.55433,                0.33046,                0.84821,                0.99951,                      1,                  0.995,                0.86172,                0.52524,                0.28353,                0.83285,              0.0012159,              0.0012159,              0.0012159
                     84,                0.54901,                0.32546,                0.84577,                0.99949,                      1,                  0.995,                0.84879,                0.60163,                0.28966,                0.85068,              0.0012104,              0.0012104,              0.0012104
                     85,                0.55437,                0.32294,                0.84777,                0.99952,                      1,                  0.995,                0.86587,                0.50118,                0.28074,                  0.829,              0.0012049,              0.0012049,              0.0012049
                     86,                0.55349,                0.32279,                 0.8438,                0.99945,                      1,                  0.995,                0.86437,                0.51229,                0.27004,                 0.8302,              0.0011994,              0.0011994,              0.0011994
                     87,                0.52577,                0.31239,                0.84164,                 0.9994,                      1,                  0.995,                0.87178,                0.50643,                 0.2651,                 0.8294,              0.0011939,              0.0011939,              0.0011939
                     88,                0.53025,                0.30725,                 0.8492,                0.99934,                      1,                  0.995,                0.86347,                0.53843,                0.28418,                0.83265,              0.0011884,              0.0011884,              0.0011884
                     89,                0.55001,                0.31883,                0.83289,                0.99942,                      1,                  0.995,                0.86374,                0.55225,                0.29216,                0.83874,              0.0011829,              0.0011829,              0.0011829
                     90,                 0.5567,                0.32503,                0.86308,                0.99936,                      1,                  0.995,                0.86945,                0.51998,                0.27491,                0.83244,              0.0011774,              0.0011774,              0.0011774
                     91,                0.55476,                0.32015,                 0.8488,                0.99949,                      1,                  0.995,                 0.8651,                0.52201,                 0.2684,                0.82833,              0.0011719,              0.0011719,              0.0011719
                     92,                0.53871,                0.31352,                0.84555,                0.99942,                      1,                  0.995,                0.86055,                0.51617,                0.27456,                  0.831,              0.0011664,              0.0011664,              0.0011664
                     93,                0.52915,                0.31597,                0.84621,                0.99946,                      1,                  0.995,                0.86311,                0.55732,                0.27168,                0.84121,              0.0011609,              0.0011609,              0.0011609
                     94,                0.55803,                0.32698,                 0.8446,                 0.9995,                      1,                  0.995,                0.86608,                0.53689,                0.27985,                0.83441,              0.0011554,              0.0011554,              0.0011554
                     95,                0.54972,                0.31878,                0.85443,                 0.9995,                      1,                  0.995,                0.86775,                0.54652,                0.28668,                0.83705,              0.0011499,              0.0011499,              0.0011499
                     96,                0.54294,                0.31972,                0.84068,                 0.9994,                      1,                  0.995,                 0.8619,                0.52819,                0.27954,                0.83494,              0.0011444,              0.0011444,              0.0011444
                     97,                0.54536,                0.31239,                0.84509,                0.99943,                      1,                  0.995,                0.86499,                0.52629,                0.27052,                0.83069,              0.0011389,              0.0011389,              0.0011389
                     98,                0.55634,                0.31587,                0.85541,                0.99942,                      1,                  0.995,                 0.8665,                0.50672,                0.26824,                 0.8279,              0.0011334,              0.0011334,              0.0011334
                     99,                0.56039,                0.32877,                0.85711,                0.99939,                      1,                  0.995,                0.85916,                0.52869,                0.27638,                0.83209,              0.0011279,              0.0011279,              0.0011279
                    100,                0.55801,                0.31549,                0.84939,                0.99955,                      1,                  0.995,                0.86024,                 0.5404,                0.28029,                0.83054,              0.0011224,              0.0011224,              0.0011224
                    101,                0.54969,                0.32408,                0.84919,                0.99964,                      1,                  0.995,                0.86111,                0.53809,                0.28266,                0.83524,              0.0011169,              0.0011169,              0.0011169
                    102,                0.54651,                0.32486,                0.85244,                0.99947,                      1,                  0.995,                0.86283,                0.55519,                0.27191,                0.83454,              0.0011114,              0.0011114,              0.0011114
                    103,                0.54451,                0.32225,                0.85535,                0.99928,                      1,                  0.995,                0.87007,                0.51983,                0.26951,                0.83131,              0.0011059,              0.0011059,              0.0011059
                    104,                0.53677,                  0.324,                0.85161,                0.99886,                      1,                  0.995,                0.86797,                0.52043,                0.28234,                 0.8314,              0.0011004,              0.0011004,              0.0011004
                    105,                0.52376,                0.30988,                0.85154,                0.99941,                      1,                  0.995,                0.86759,                 0.5156,                0.27612,                0.82763,              0.0010949,              0.0010949,              0.0010949
                    106,                0.54128,                0.31364,                0.84252,                0.99921,                      1,                  0.995,                0.86704,                0.51738,                0.27171,                 0.8301,              0.0010894,              0.0010894,              0.0010894
                    107,                0.53696,                0.31081,                0.84564,                0.99945,                      1,                  0.995,                0.87209,                0.52661,                0.26105,                0.83647,              0.0010839,              0.0010839,              0.0010839
                    108,                0.52085,                0.31201,                0.84083,                0.99939,                      1,                  0.995,                0.86677,                0.55417,                0.27029,                0.84506,              0.0010784,              0.0010784,              0.0010784
                    109,                0.51327,                0.30552,                0.84345,                0.99945,                      1,                  0.995,                0.88116,                0.51566,                0.25959,                0.83196,              0.0010729,              0.0010729,              0.0010729
                    110,                0.51116,                0.29899,                0.84593,                0.99945,                      1,                  0.995,                0.87482,                0.51699,                0.25289,                0.83257,              0.0010674,              0.0010674,              0.0010674
                    111,                0.52726,                0.30839,                0.84841,                0.99944,                      1,                  0.995,                0.87094,                0.51467,                0.27316,                0.82588,              0.0010619,              0.0010619,              0.0010619
                    112,                0.52957,                0.31243,                0.84714,                0.99943,                      1,                  0.995,                0.87563,                0.54306,                0.27113,                0.83577,              0.0010564,              0.0010564,              0.0010564
                    113,                0.52477,                0.31567,                0.84268,                0.99931,                      1,                  0.995,                0.87522,                0.53184,                0.26826,                0.82853,              0.0010509,              0.0010509,              0.0010509
                    114,                0.52857,                0.31779,                0.84063,                0.99948,                      1,                  0.995,                0.86748,                0.51339,                0.25813,                0.83234,              0.0010454,              0.0010454,              0.0010454
                    115,                0.51602,                0.31347,                0.85281,                0.99953,                      1,                  0.995,                0.86146,                0.55441,                0.26808,                0.84603,              0.0010399,              0.0010399,              0.0010399
                    116,                0.52271,                0.31725,                0.84678,                 0.9994,                      1,                  0.995,                0.86962,                 0.5236,                0.26835,                0.83243,              0.0010344,              0.0010344,              0.0010344
                    117,                0.54011,                0.32465,                 0.8512,                0.99952,                      1,                  0.995,                0.87328,                0.50118,                0.26259,                0.82639,              0.0010289,              0.0010289,              0.0010289
                    118,                0.51511,                0.30004,                0.83965,                0.99939,                      1,                  0.995,                0.87755,                0.49909,                0.26136,                0.82509,              0.0010234,              0.0010234,              0.0010234
                    119,                 0.5327,                0.30188,                 0.8485,                0.99963,                      1,                  0.995,                0.87269,                0.51523,                0.26456,                0.82777,              0.0010179,              0.0010179,              0.0010179
                    120,                0.52706,                0.30851,                0.84589,                0.99931,                      1,                  0.995,                 0.8751,                0.49808,                0.26734,                0.82317,              0.0010124,              0.0010124,              0.0010124
                    121,                0.52529,                 0.3011,                0.83841,                0.99949,                      1,                  0.995,                0.88025,                0.49126,                0.25163,                 0.8232,              0.0010069,              0.0010069,              0.0010069
                    122,                0.52383,                0.31006,                0.84352,                0.99954,                      1,                  0.995,                0.87905,                0.49643,                0.25568,                0.82934,              0.0010014,              0.0010014,              0.0010014
                    123,                0.51927,                0.29866,                0.84561,                 0.9995,                      1,                  0.995,                0.87819,                 0.4886,                 0.2599,                0.82388,             0.00099587,             0.00099587,             0.00099587
                    124,                0.51307,                 0.3072,                0.84156,                0.99959,                      1,                  0.995,                0.87756,                0.49946,                0.25402,                0.82353,             0.00099036,             0.00099036,             0.00099036
                    125,                0.51304,                0.29521,                0.83826,                0.99956,                      1,                  0.995,                0.87464,                0.50422,                 0.2592,                0.82612,             0.00098486,             0.00098486,             0.00098486
                    126,                0.51439,                0.29758,                0.84143,                0.99959,                      1,                  0.995,                0.86336,                0.54576,                 0.2678,                0.84111,             0.00097936,             0.00097936,             0.00097936
                    127,                0.51433,                0.29884,                 0.8394,                0.99937,                      1,                  0.995,                0.87094,                0.53214,                0.25907,                0.83514,             0.00097386,             0.00097386,             0.00097386
                    128,                0.49967,                0.29451,                0.83715,                0.99952,                      1,                  0.995,                0.86423,                0.51426,                0.26286,                0.83236,             0.00096836,             0.00096836,             0.00096836
                    129,                0.51549,                 0.3018,                0.84079,                0.99951,                      1,                  0.995,                0.87019,                0.51087,                0.25184,                0.83222,             0.00096286,             0.00096286,             0.00096286
